Country Name|Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,-2.60,-2.30,-2.00,-1.70,-1.40,-1.10,0.10,0.01,0.02,0.02,0.03,0.17,0.21,0.07,0.11,0.11,8.45,0.87,2.79,3.09,3.39,3.69,3.99,4.29
Albania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Angola,0.13,0.16,0.24,0.19,0.14,0.03,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.67,0.14,0.14,0.15,0.15
Argentina,0.12,0.20,15.50,17.95,15.31,15.23,14.25,16.64,22.99,18.29,20.78,19.30,17.99,13.08,14.00,9.76,7.06,5.56,6.30,16.51,12.30,16.97,16.41,14.56
Australia,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Azerbaijan,-0.02,-0.01,-0.01,-0.01,-0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.06,0.06,0.04,0.03,0.03,0.01,0.04
Bahamas  The,1.52,1.63,1.64,1.43,1.55,1.57,1.17,1.17,1.15,1.13,1.44,1.10,1.29,1.28,0.87,0.63,0.77,0.51,0.99,0.59,2.86,5.95,8.22,3.02
Bangladesh,0.01,0.00,0.00,0.02,0.02,0.02,0.02,0.00,0.03,0.02,0.02,0.00,0.07,0.03,0.00,0.00,0.02,0.01,0.02,0.05,0.03,0.00,0.02,0.02
Barbados,0.14,0.12,0.09,0.06,0.04,0.01,-0.01,-0.04,-0.06,-0.09,-0.11,-0.14,-0.16,-0.19,-0.21,-0.24,-0.26,-0.29,-0.31,-0.34,-0.36,-0.39,-0.42,-0.44
Belarus,10.10,10.28,10.46,3.87,3.14,3.74,3.44,19.17,24.73,21.30,5.95,15.98,13.69,10.63,6.69,23.48,18.40,16.22,21.77,16.96,13.23,10.83,3.06,5.85
Bhutan,0.48,0.69,0.51,0.03,0.02,0.03,0.01,0.00,0.00,-0.22,-0.30,-0.38,-0.47,-0.55,-0.63,-0.71,-0.80,-0.88,-0.96,-1.04,-1.13,-1.21,-1.29,-1.37
Bosnia and Herzegovina,-6.00,-5.00,-4.00,-3.00,-2.00,-1.00,0.00,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00
Botswana,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.01
Brazil,-0.09,-0.09,-0.08,-0.07,-0.06,-0.06,-0.05,-0.04,-0.03,-0.03,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.29
Bulgaria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Burkina Faso,0.13,0.12,0.12,0.11,0.11,0.10,0.10,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.03,0.06,0.03,0.02,0.02,0.01
Burundi,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.02,0.04,0.03,0.15,0.17,0.09,0.11,0.10,0.15,0.13,0.04,0.02,0.10,0.10
Cambodia,8.77,8.29,8.90,11.89,8.33,4.76,4.78,4.15,2.61,2.78,2.53,3.56,2.69,2.94,2.29,1.68,0.26,0.32,0.30,0.22,0.13,0.24,-1.76,-2.24
Cameroon,-0.84,-0.73,-0.63,-0.52,-0.41,-0.31,-0.20,-0.10,0.01,0.12,0.22,0.33,0.43,0.59,0.68,0.72,0.70,0.91,1.33,1.13,1.28,1.36,1.50,1.60
Central African Republic,6.86,6.53,6.21,5.89,8.30,4.67,4.40,4.12,3.85,3.57,3.30,3.03,2.75,2.48,2.20,1.93,1.66,1.38,1.11,0.91,0.41,0.36,0.01,-0.26
China,-30.22,-29.22,-28.22,-27.22,-26.22,-25.22,-24.22,-23.22,-22.22,-21.22,-20.22,-19.22,-18.22,-17.22,-16.22,-15.22,-14.22,-13.22,-12.22,-11.22,-10.22,-9.22,-8.22,-7.22
Congo  Dem. Rep.,1.12,1.06,3.00,3.50,2.91,2.69,2.08,1.44,1.26,0.99,0.82,0.35,0.55,0.28,0.27,0.23,0.17,0.22,0.18,0.16,0.27,0.31,0.21,-0.40
Congo  Rep.,-0.70,-0.61,-0.52,-0.44,0.05,0.05,0.04,0.01,0.05,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,1.47,1.36,1.02,1.25,1.56,1.21,1.29
Costa Rica,0.32,0.30,0.19,0.26,0.17,0.17,0.08,0.12,0.19,0.20,0.15,0.14,0.12,0.14,0.13,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.20,-3.78
Cote d'Ivoire,21.62,21.18,16.74,20.36,23.94,25.46,21.00,19.37,17.44,14.13,13.81,13.31,17.38,12.23,13.95,14.17,16.01,16.25,16.79,13.00,14.35,12.56,12.00,10.70
Dominican Republic,0.01,0.00,0.00,0.28,1.46,0.01,0.04,0.04,0.05,0.06,0.06,0.07,0.08,0.01,0.00,0.00,0.00,-0.02,0.01,-0.04,-0.06,-0.07,-0.09,-0.11
Egypt  Arab Rep.,-0.20,-0.15,-0.10,0.00,0.00,0.00,0.00,0.02,0.38,0.28,0.48,0.15,0.39,0.44,0.49,0.54,0.59,0.64,0.69,0.74,0.79,0.84,0.89,0.94
Equatorial Guinea,-0.86,-0.78,-0.69,-0.61,-0.53,-0.44,-0.36,1.34,0.17,0.07,-0.74,-1.37,-2.00,0.25,0.37,0.47,1.14,1.91,1.41,0.73,0.43,0.90,0.56,1.06
Eswatini,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ethiopia,-2.17,1.86,0.41,0.02,-1.08,-2.00,-2.92,3.64,10.80,14.53,3.90,3.23,8.06,2.65,7.97,8.65,9.32,9.99,10.67,11.34,12.01,12.69,13.36,0.00
Fiji,0.98,0.95,0.91,0.88,0.83,1.05,0.70,0.79,0.78,0.77,0.72,0.49,0.44,0.25,0.48,0.42,0.43,0.35,0.31,0.31,0.45,0.53,0.24,0.21
Ghana,5.24,4.58,4.32,6.48,5.67,3.06,5.21,1.04,0.95,0.36,1.54,0.06,0.89,0.75,1.78,1.73,1.11,-0.30,-0.63,-0.95,-1.28,-1.61,-1.93,-2.26
Guatemala,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,-17.01,-15.34,-13.67,-12.00,-10.33,-8.66,-6.99,-5.32,-3.66,-1.99,-0.32,1.35,3.02,4.69,6.36,8.03,9.70,11.37,13.04,14.71,16.38,18.05,19.72,21.39
Iceland,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
India,0.20,0.13,0.14,0.13,0.06,0.05,0.05,0.22,0.29,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.00,-0.03,-0.04,-0.05,-0.06,-0.07
Indonesia,0.85,0.28,0.11,0.09,0.11,1.65,1.60,1.55,2.06,0.09,1.23,3.30,2.17,1.47,0.99,0.30,0.23,0.31,0.45,0.23,0.33,2.24,1.75,1.20
Iraq,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kazakhstan,0.05,0.34,0.85,0.73,0.73,1.07,1.25,1.42,1.60,1.77,17.46,15.69,11.08,25.42,26.88,22.89,17.35,20.61,21.93,19.96,12.84,18.31,19.30,15.03
Kyrgyz Republic,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.02,0.02,0.00,0.01,0.02,0.01,0.01
Lao PDR,1.18,1.15,1.12,1.10,1.07,1.04,1.01,0.98,0.39,0.77,0.77,1.25,0.95,0.71,2.18,1.45,0.41,0.17,0.21,0.24,0.09,0.12,1.58,0.52
Lesotho,-17.65,-16.65,-15.65,-14.65,-13.65,-12.65,-11.65,-10.65,-9.65,-8.65,-7.65,-6.65,-5.65,-4.65,-3.65,-2.65,-1.65,-0.65,0.35,1.35,2.35,3.35,4.35,5.35
Liberia,0.56,0.58,0.59,0.61,0.63,0.06,0.83,0.92,0.57,1.00,1.16,0.72,1.05,0.12,0.80,0.82,0.84,0.85,0.87,0.89,0.91,0.92,0.94,0.96
Malaysia,2.12,1.38,1.20,1.78,2.22,2.59,2.73,2.44,2.46,1.08,1.65,1.54,1.30,1.24,1.15,0.63,0.58,0.76,0.99,0.62,0.48,1.18,1.26,0.64
Maldives,-0.28,-0.27,-0.25,-0.23,-0.21,-0.20,-0.18,-0.16,-0.14,-0.12,-0.11,-0.09,-0.07,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.11,0.13
Mali,0.00,-0.21,-0.18,-0.14,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.86,0.29,0.33,0.36,0.40,0.43,0.46,0.50,0.53
Mexico,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mongolia,3.03,0.50,0.40,0.48,-0.83,-1.61,0.59,0.53,0.62,0.44,0.01,0.01,0.01,0.01,0.01,0.00,0.01,-0.31,0.01,0.00,0.00,0.00,-0.31,-0.36
Morocco,-0.36,-0.23,-0.09,0.05,0.19,0.61,0.54,0.45,0.03,1.40,0.56,1.57,1.29,1.43,1.56,1.70,1.84,1.98,2.11,2.25,2.39,2.53,2.66,2.80
Namibia,0.00,-1.53,0.00,-1.58,-1.45,-1.33,-1.20,-1.07,-0.94,-0.81,-0.68,-0.55,-0.43,-0.30,-0.17,-0.04,0.00,0.13,0.56,0.55,0.57,0.66,0.84,0.99
Nepal,1.30,1.27,2.33,2.01,1.09,1.29,1.09,0.98,0.52,0.68,0.57,0.16,0.41,0.17,0.34,0.09,0.04,0.02,0.02,0.03,0.02,0.04,-0.40,-0.50
North Macedonia,1.17,1.00,0.82,0.64,0.47,0.35,0.01,0.00,-0.23,-0.41,-0.58,-0.76,-0.93,-1.11,-1.28,-1.46,-1.63,-1.81,-1.98,-2.16,-2.33,-2.51,-2.68,-2.86
Norway,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.04
Panama,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Papua New Guinea,13.12,3.83,4.36,-1.66,-6.04,-10.42,-14.80,-19.17,-23.55,-27.93,-32.31,-36.69,-41.07,-45.45,2.68,3.45,3.49,3.25,3.75,3.65,4.09,3.59,2.65,-5.57
Russian Federation,16.44,16.10,13.18,16.76,29.09,37.63,42.51,51.57,43.13,40.99,41.84,44.61,43.37,43.31,43.73,31.59,26.02,20.94,25.18,19.09,9.87,16.06,16.04,10.53
Rwanda,-19.99,-18.99,-17.99,-16.99,-15.99,-14.99,-13.99,-12.99,-11.99,-10.99,-9.99,-8.99,-7.99,-6.99,-5.99,-4.99,-3.99,-2.99,-1.99,-0.99,0.01,1.01,2.01,3.01
Senegal,-16.85,-15.85,-14.85,-13.85,-12.85,-11.85,-10.85,-9.85,-8.85,-7.85,-6.85,-5.85,-4.85,-3.85,-2.85,-1.85,-0.85,0.15,1.15,2.15,3.15,4.15,5.15,6.15
Solomon Islands,20.25,20.22,20.19,20.16,20.13,20.10,20.07,20.04,20.01,19.98,19.95,18.55,18.30,17.03,19.72,21.04,22.28,21.99,24.21,21.22,18.10,22.25,12.32,19.55
Somalia,-0.60,-0.55,-0.49,-0.44,-0.38,-0.33,-0.28,-0.22,-0.17,-0.11,-0.06,0.00,0.05,0.10,0.16,0.21,0.27,0.32,0.37,0.43,0.48,0.54,0.59,0.65
South Africa,-0.01,-0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.04,0.06,0.03
Sri Lanka,0.19,0.18,0.18,0.18,0.18,0.18,0.01,0.01,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.20,0.18,0.18,0.15,0.13,0.17,0.17,0.13,0.08
Tajikistan,12.69,13.69,14.69,15.69,16.69,17.69,18.69,19.69,20.69,21.69,22.69,23.69,24.69,25.69,26.69,27.69,28.69,29.69,30.69,31.69,32.69,33.69,34.69,35.69
Tanzania,-0.24,-0.18,-0.12,-0.07,-0.01,0.05,0.11,0.17,0.23,0.28,0.34,0.40,0.56,0.38,0.30,0.63,0.41,0.91,1.12,1.03,1.13,1.23,1.33,0.29
Thailand,0.35,0.30,0.29,0.31,0.37,0.32,0.30,0.30,0.03,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00
Togo,0.36,0.36,0.36,0.36,0.19,0.20,0.23,0.25,0.26,0.28,0.58,0.60,0.48,0.52,0.44,0.58,0.50,0.32,0.24,0.20,0.20,0.21,0.18,0.33
Tunisia,0.20,0.15,0.15,0.13,0.11,0.09,0.13,0.23,0.22,0.13,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Uganda,0.35,0.34,0.32,0.31,0.29,0.28,0.27,0.25,0.24,0.23,0.21,0.20,0.19,0.17,0.16,0.13,0.14,0.11,0.09,0.13,0.09,0.02,0.06,0.04
Ukraine,0.02,0.03,0.03,1.00,1.51,0.69,0.28,0.25,0.12,0.26,0.18,0.54,0.08,0.03,0.08,0.10,0.08,0.11,0.07,0.03,0.03,0.13,0.34,-0.13
Uruguay,0.14,0.09,0.14,0.04,0.04,0.02,0.00,-0.03,-0.05,-0.07,-0.10,-0.12,-0.14,-0.17,-0.19,-0.21,-0.24,-0.26,-0.29,-0.31,-0.33,-0.36,-0.38,-0.40
Uzbekistan,-15.35,-14.35,-13.35,-12.35,-11.35,-10.35,-9.35,-8.35,-7.35,-6.35,-5.35,-4.35,-3.35,-2.35,-1.35,-0.35,0.65,1.65,2.65,3.65,4.65,5.65,6.65,7.65
Vanuatu,-0.83,-0.77,-0.71,-0.64,-0.58,-0.52,-0.46,-0.39,-0.33,0.08,-0.30,-0.23,0.00,0.01,0.01,0.05,0.07,0.28,0.00,0.00,0.02,1.35,0.59,0.66
Zambia,-0.11,-0.10,-0.09,-0.08,-0.07,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,0.00,0.01,0.02,0.01,0.01,0.01,0.09,0.04,0.24,0.04,0.04,0.11,0.12
